Registration Number,Annual Turnover
20001,25000000
20002,25000000
20003,25000000
20004,25000000
20005,25000000
20006,25000000
20007,25000000
20008,25000000
20009,25000000
20010,25000000
20011,25000000
20012,25000000
20013,25000000
20014,25000000
20015,25000000
20016,25000000
20017,25000000
20018,25000000
20019,25000000
20020,25000000
20021,25000000
20022,25000000
20023,25000000
20024,25000000
20025,25000000
20026,25000000
20027,25000000
20028,25000000
20029,25000000
20030,25000000
20031,25000000
20032,25000000
20033,25000000
20034,25000000
20035,25000000
20036,25000000
20037,25000000
20038,25000000
20039,25000000
20040,25000000
20041,25000000
20042,25000000
20043,25000000
20044,25000000
20045,25000000
20046,25000000
20047,25000000
20048,25000000
20049,25000000
20050,25000000
20051,25000000
20052,25000000
20053,25000000
20054,25000000
20055,25000000
20056,25000000
20057,25000000
20058,25000000
20059,25000000
20060,25000000
20061,25000000
20062,25000000
20063,25000000
20064,25000000
20065,25000000
20066,25000000
20067,25000000
20068,25000000
20069,25000000
20070,25000000
20071,25000000
20072,25000000
20073,25000000
20074,25000000
20075,25000000
20076,25000000
20077,25000000
20078,25000000
20079,25000000
20080,25000000
20081,25000000
20082,25000000
20083,25000000
20084,25000000
20085,25000000
20086,25000000
20087,25000000
20088,25000000
20089,25000000
20090,25000000
20091,25000000
20092,25000000
20093,25000000
20094,25000000
20095,25000000
20096,25000000
20097,25000000
20098,25000000
20099,25000000
20100,25000000
20101,25000000
20102,25000000
20103,25000000
20104,25000000
20105,25000000
20106,25000000
20107,25000000
20108,25000000
20109,25000000
20110,25000000
20111,25000000
20112,25000000
20113,25000000
20114,25000000
20115,25000000
20116,25000000
20117,25000000
20118,25000000
20119,25000000
20120,25000000
20121,25000000
20122,25000000
20123,25000000
20124,25000000
20125,25000000
20126,25000000
20127,25000000
20128,25000000
20129,25000000
20130,25000000
20131,25000000
20132,25000000
20133,25000000
20134,25000000
20135,25000000
20136,25000000
20137,25000000
20138,25000000
20139,25000000
20140,25000000
20141,25000000
20142,25000000
20143,25000000
20144,25000000
20145,25000000
20146,25000000
20147,25000000
20148,25000000
20149,25000000
20150,25000000
20151,25000000
20152,25000000
20153,25000000
20154,25000000
20155,25000000
20156,25000000
20157,25000000
20158,25000000
20159,25000000
20160,25000000
20161,25000000
20162,25000000
20163,25000000
20164,25000000
20165,25000000
20166,25000000
20167,25000000
20168,25000000
20169,25000000
20170,25000000
20171,25000000
20172,25000000
20173,25000000
20174,25000000
20175,25000000
20176,25000000
20177,25000000
