Registration Number,Annual Turnover,Cuisine,City,Restaurant Location,Opening Day of Restaurant,Facebook Popularity Quotient,Endorsed By,Instagram Popularity Quotient,Fire Audit,Liquor License Obtained,Situated in a Multi Complex,Dedicated Parking,Open Sitting Available,Resturant Tier,Restaurant Type,Restaurant Theme,Restaurant Zomato Rating,Restaurant City Tier,Order Wait Time,Staff Responsivness,Value for Money,Hygiene Rating,Food Rating,Overall Restaurant Rating,Live Music Rating,Comedy Gigs Rating,Value Deals Rating,Live Sports Rating,Ambience,Lively,Service,Comfortablility,Privacy
60001,42000000,"indian,irish",Bangalore,Near Business Hub,14-02-2009,84.3,Not Specific,95.8,1,1,1,0,1,2,Bar,Arabian,3,0,2,5,5,5,7,10,4,NA,NA,NA,8,8,6,6,6
60002,50000000,"indian,irish",Indore,Near Party Hub,29-09-2008,85.4,Tier A Celebrity,85,1,1,1,1,0,2,Bar,Greek,3,0,6,6,6,7,8,9,NA,4,NA,NA,5,7,7,3,8
60003,32500000,"tibetan,italian",Chennai,Near Business Hub,30-07-2011,85,Tier A Celebrity,68.2,1,1,1,1,0,2,Bar,90's,3,0,2,6,5,3,7,8,3,NA,NA,NA,7,10,5,2,8
60004,110000000,"turkish,nigerian",Gurgaon,Near Party Hub,30-11-2008,85.6,Tier A Celebrity,83.6,0,1,1,1,1,1,Bar,Arabian,3,1,7,6,5,6,8,9,6,NA,NA,NA,7,7,4,3,5
60005,20000000,"irish,belgian",Manesar,Near Party Hub,22-02-2010,,Tier A Celebrity,76.8,1,1,1,1,1,,Bar,Greek,3,0,10,5,6,4,8,6,NA,2,NA,NA,,6,2,4,6
60006,30000000,"tibetan,greek",Hyderabad,Near Party Hub,28-06-2011,89.92,Not Specific,87,1,1,1,1,1,2,Bar,Greek,3,0,10,5,5,6,8,NA,6,NA,4,NA,6,5,0,2,5
60007,30000000,"indian,irish",Banglore,Near Party Hub,28-01-2012,86.08,Not Specific,67.5,1,1,0,1,1,2,Bar,Arabian,3,1,2,5,4,3,10,7,4,NA,3,NA,10,6,2,0,4
60008,40000000,"indian,irish",Bangalore,Near Party Hub,23-05-2011,92,Tier A Celebrity,91,1,1,1,1,1,1,Bar,Nature,0,0,8,5,5,5,6,9,NA,NA,NA,4,6,9,5,4,9
60009,60000000,"chinese,salvadorian",Noida,Near Party Hub,12-09-2010,90,Tier A Celebrity,,0,1,0,1,0,,Bar,Greek,4,1,4,6,6,5,9,10,7,3,NA,NA,6,8,3,2,6
60010,23000000,"algerian,belgian",Kolkata,Near Party Hub,08-06-2012,,Tier A Celebrity,,1,1,1,1,1,2,Bar,Greek,3,1,9,6,5,5,5,8,3,3,NA,NA,4,8,3,5,7
60011,60000000,"welsh,thai",Bangalore,Near Party Hub,19-06-2008,88.6,Not Specific,,1,1,0,0,1,2,Bar,Arabian,3,0,10,5,4,5,5,10,4,NA,NA,NA,7,8,5,4,7
60012,45000000,"peruvian,cuban",Pune,Near Party Hub,05-02-2009,81,Tier A Celebrity,,1,1,1,1,0,1,Bar,90's,3,0,7,4,6,7,7,9,6,NA,NA,NA,2,9,6,3,6
60013,27000000,"welsh,thai",Pune,Near Party Hub,16-11-2009,83.6,Not Specific,,1,1,1,1,1,2,Bar,Parsi,2,0,1,3,5,4,9,7,NA,2,NA,NA,7,8,3,2,8
60014,20000000,"japanese,thai",Gurgaon,Near Party Hub,18-10-2009,60.8,Tier A Celebrity,,0,1,1,0,1,2,Bar,Greek,2,0,3,4,4,6,8,8,3,3,NA,NA,7,7,3,3,4
60015,30000000,"indian,irish",Bangalore,Near Party Hub,28-06-2011,,Not Specific,79.9,1,1,1,1,0,2,Bar,English,2,0,1,3,5,6,6,NA,4,NA,3,NA,8,8,5,2,8
60016,35000000,"tibetan,italian",-1,Near Business Hub,12-01-2009,69.54,Tier A Celebrity,64.43,1,1,1,1,0,2,Bar,90's,2,0,8,4,5,3,5,7,3,NA,NA,NA,10,10,6,3,9
60017,32500000,"turkish,nigerian",Noida,Near Party Hub,06-06-2011,85.8,Tier A Celebrity,74.8,1,1,1,1,1,2,Bar,Greek,2,0,7,6,5,6,9,NA,5,NA,NA,NA,9,9,6,2,5
60018,25000000,"british,japanese",Gurgaon,Near Party Hub,23-09-2006,,Tier A Celebrity,66.66,1,1,0,1,1,2,Caffee,Arabian,3,1,4,4,5,5,8,9,5,NA,5,NA,8,9,2,0,8
60019,12000000,"nigerian,cajun",Gurgaon,Near Party Hub,03-12-2011,65,Not Specific,64.8,1,1,1,1,1,2,Bar,Arabian,2,0,3,4,4,5,7,8,4,NA,NA,NA,6,7,7,3,9
60020,32500000,"tibetan,greek",Pune,Near Business Hub,25-11-2009,79,Tier A Celebrity,62.2,0,1,1,1,1,2,Bar,Arabian,3,0,6,4,4,4,5,9,5,NA,NA,NA,8,7,4,3,6
60021,32000000,"tibetan,greek",Bangalore,Near Business Hub,21-07-2007,91.2,Not Specific,84.63,1,1,1,1,1,2,Bar,Arabian,3,0,5,4,5,4,5,10,4,NA,NA,NA,6,8,6,3,7
60022,20000000,"tibetan,greek",-1,Near Business Hub,15-08-2010,75.67,Not Specific,74.4,1,1,0,0,1,2,Bar,90's,3,0,5,3,5,4,8,10,4,NA,NA,NA,4,5,2,4,4
60023,19000000,"algerian,algerian",Hyderabad,Near Party Hub,18-01-2011,,Not Specific,95.2,1,1,1,1,1,2,Bar,Greek,3,0,10,3,4,4,7,NA,4,NA,NA,NA,6,5,3,5,1
60024,18000000,"british,japanese",Bangalore,Near Party Hub,25-07-2005,70,Not Specific,43.42,1,1,1,1,0,2,Bar,Greek,1,1,6,3,3,2,8,10,NA,3,NA,NA,5,2,1,3,0
60025,33500000,"japanese,thai",Hyderabad,Near Party Hub,23-06-2012,,Not Specific,90,1,1,1,1,0,2,Bar,Arabian,3,1,7,6,5,6,7,7,4,NA,3,NA,7,8,5,2,5
